Key	S_bandwidth	S_DOS	S_total
mp-cgivi	-1.0	0.7325962941246751	0.0
mp-rji	-1.0	0.600304371630466	0.0
mp-crgsc	-1.0	0.7451452610127951	0.0
mp-cjjsi	-1.0	0.650505066325435	0.0
mp-clexf	0.924116510602618	0.7966038871692861	0.9964184815644556
mp-briv	-1.0	0.7941934605495291	0.0
mp-cjjsr	-1.0	0.856786758507543	0.0
mp-nfv	-1.0	0.559913151663428	0.0
mp-fpj	0.7749488861124181	0.0	0.172628258440525
mp-bovw	0.007266373614312	0.6230647289179471	0.1684379571502981
mp-bfhy	-1.0	0.68338108956677	0.0
mp-bcda	-1.0	0.570934751216828	0.0
mp-bgncq	-1.0	0.5322426142465291	0.0
mp-bfovb	-1.0	0.5362357524114321	0.0
mp-ckuyl	0.325713976339092	0.662787433102042	0.660090248069916
mp-bfek	-1.0	0.451237378670116	0.0
mp-cjwsc	-1.0	0.6008945648611701	0.0
mp-bdlr	-1.0	0.6522179723867291	0.0
mp-bmgpg	-1.0	0.841494389198561	0.0
mp-bxcic	-1.0	0.470970943940868	0.0
mp-cewgw	-1.0	0.641741768076537	0.0
mp-crvpf	-1.0	0.7546757728473821	0.0
mp-creoe	-1.0	0.555386754289082	0.0
mp-qrs	-1.0	0.7052428070641971	0.0
mp-cktky	-1.0	0.515354667880463	0.0
mp-bfnqo	-1.0	0.501471924946572	0.0
mp-bxdqq	-1.0	0.24449222188262	0.0
mp-bghvd	0.490052279645861	0.691500002792783	0.8618801646096417
mp-ciyoe	-1.0	0.563826702633914	0.0
mp-bioqd	0.5115181540938021	0.7500681706196131	0.90492002303544
mp-ihi	-1.0	0.800963064008922	0.0
mp-crftl	-1.0	0.41691494087453	0.0
mp-cpjop	-1.0	0.8183092623720171	0.0
mp-cqrjv	-1.0	0.406652659150209	0.0
mp-cnhww	-1.0	0.731915805952957	0.0
mp-cpphw	-1.0	0.314660358802796	0.0
